Mineral Name	reference to the mineral
----------------------------------------	----------------------------------------
Earth BS	Morlok et al., Icarus 324, 86-103.
Mars BS	Morlok et al., Icarus 324, 86-103.
Allende	Morlok et al. (2020) Planetary and Space Science 193, 105078.
AubriteNC14027-5	Morlok et al.(2020) Meteoritics & Space Science 55, 2080-2096.
HaH 280	Morlok et al. (2020) Planetary and Space Science 193, 105078.
Olivine 10%Px	Weber et al., EPSL 569, 117072.
Earth BS	Morlok et al., Icarus 324, 86-103.
San Carlos Olivine	Weber et al. EPSL 530, 115884
Basalt891 A3 Block	Morlok et al.(2020) Icarus 335, 113410 (10.1016/j.icarus.2019.113410).
NWA10574	Morlok et al. (2020) Planetary and Space Science 193, 105078.
Tagish Lake	Morlok et al. (2020) Planetary and Space Science 193, 105078.
Andesine	Reitze et al., 2021, Mid-infrared spectroscopy of crystalline plagioclase feldspar samples with various Al,Si order and implications for remote sensing of Mercury and other terrestrial Solar System objects, Earth Planet Sci Lett, 554, 116697, https://doi.org/10.1016/j.epsl.2020.116697
NC Pep	Morlok et al.(2017) Icarus 123-138.
Anorthite 50 syn	Reitze et al., 2021, Mid-infrared spectroscopy of crystalline plagioclase feldspar samples with various Al,Si order and implications for remote sensing of Mercury and other terrestrial Solar System objects, Earth Planet Sci Lett, 554, 116697, https://doi.org/10.1016/j.epsl.2020.116697
MixEnstatite53 Olivine135 30%-70%	Weber et al., EPSL 569, 117072.
Chelyabinsk melt	Morlok et al.(2017) Icarus 284, 431-442.
Chelyabinsk Melt	Morlok et al.(2017) Icarus 284, 431-442.
Apollo 67481,96	Martin, D. (2018). IR spectroscopy of planetary regolith analogues, lunar meteorites, and Apollo soils. University of Manchester.
Chelyabinsk melt	#######################################
HaH 280	Morlok et al. (2020) Planetary and Space Science 193, 105078.
10 BD3 Fsp	Reitze et al., 2021, Mid-infrared spectroscopy of anorthosite samples from near Manicouagan Crater, Canada, as analogue for remote sensing of Mercury and other terrestrial solar system objects, J Geophys Res, 126, e2021JE006832, https://doi.org/10.1029/2021JE006832
CBC Pep	Morlok et al.(2017) Icarus 123-138.
Apollo 62231,55	Martin, D. (2018). IR spectroscopy of planetary regolith analogues, lunar meteorites, and Apollo soils. University of Manchester.
PD vdK	Morlok et al.(2017) Icarus 123-138.
NP HMg vdK	Morlok et al.(2017) Icarus 123-138.
10 BD2 Fsp1	Reitze et al., 2021, Mid-infrared spectroscopy of anorthosite samples from near Manicouagan Crater, Canada, as analogue for remote sensing of Mercury and other terrestrial solar system objects, J Geophys Res, 126, e2021JE006832, https://doi.org/10.1029/2021JE006832
10 BD5 Fsp	Reitze et al., 2021, Mid-infrared spectroscopy of anorthosite samples from near Manicouagan Crater, Canada, as analogue for remote sensing of Mercury and other terrestrial solar system objects, J Geophys Res, 126, e2021JE006832, https://doi.org/10.1029/2021JE006832
PD vdK	Morlok et al.(2017) Icarus 123-138.
Apollo 62231,55	Martin, D. (2018). IR spectroscopy of planetary regolith analogues, lunar meteorites, and Apollo soils. University of Manchester.
NWA10574	Morlok et al. (2020) Planetary and Space Science 193, 105078.
NC Pep	Morlok et al.(2017) Icarus 123-138.
