wavenumber_cm1,reflectance
944,0.45762
944,0.45908
944,0.46053
944,0.46197
944,0.4634
944,0.46483
944,0.46624
944,0.46764
944,0.46904
944,0.47043
944,0.4718
944,0.47317
944,0.47453
944,0.47588
899,0.5098
899,0.50973
899,0.50965
899,0.50958
899,0.50951
899,0.50943
899,0.50936
899,0.50928
899,0.50921
899,0.50914
899,0.50906
899,0.50898
899,0.50891
899,0.50883
899,0.50875
899,0.50867
860,0.2934
860,0.29287
860,0.29235
860,0.29182
860,0.2913
860,0.29078
860,0.29026
860,0.28975
860,0.28924
860,0.28873
860,0.28822
860,0.28771
860,0.28721
860,0.28671
860,0.28621
860,0.28572
860,0.28522
860,0.28473
809,0.16254
809,0.16253
809,0.16251
809,0.1625
809,0.16249
809,0.16248
809,0.16247
809,0.16246
809,0.16245
809,0.16243
809,0.16242
809,0.16241
809,0.1624
809,0.16239
809,0.16238
809,0.16237
809,0.16236
809,0.16235
809,0.16234
809,0.16233
759,0.11046
759,0.11041
759,0.11035
759,0.11029
759,0.11023
759,0.11017
759,0.11011
759,0.11005
759,0.10999
759,0.10993
759,0.10986
759,0.1098
759,0.10974
759,0.10968
759,0.10962
759,0.10956
759,0.1095
759,0.10944
759,0.10938
759,0.10932
759,0.10926
759,0.1092
759,0.10914
729,0.08185
729,0.08187
729,0.08189
729,0.08192
729,0.08194
729,0.08196
729,0.08198
729,0.082
729,0.08202
729,0.08204
729,0.08206
729,0.08208
729,0.0821
729,0.08211
729,0.08213
729,0.08215
729,0.08216
729,0.08218
729,0.08219
729,0.08221
729,0.08222
729,0.08223
729,0.08224
729,0.08226
704,0.06308
704,0.06302
704,0.06296
704,0.06289
704,0.06283
704,0.06277
704,0.06271
704,0.06264
704,0.06258
704,0.06252
704,0.06246
704,0.06239
704,0.06233
704,0.06227
704,0.06221
704,0.06215
704,0.06209
704,0.06203
704,0.06197
704,0.06191
704,0.06185
704,0.06179
704,0.06174
704,0.06168
704,0.06162
704,0.06156
680,0.04798
680,0.04798
680,0.04798
680,0.04799
680,0.04799
680,0.048
680,0.048
680,0.04801
680,0.04801
680,0.04802
680,0.04803
680,0.04803
680,0.04804
680,0.04804
680,0.04805
680,0.04805
680,0.04806
680,0.04806
680,0.04806
680,0.04807
680,0.04807
680,0.04807
680,0.04807
680,0.04808
680,0.04808
680,0.04808
680,0.04808
680,0.04809
