wavenumber_cm1,reflectance
944,0.18745
944,0.18779
944,0.18814
944,0.18848
944,0.18883
944,0.18917
944,0.1895
944,0.18984
944,0.19017
944,0.1905
944,0.19083
944,0.19115
944,0.19147
944,0.1918
899,0.38906
899,0.38927
899,0.38949
899,0.38971
899,0.38992
899,0.39013
899,0.39035
899,0.39056
899,0.39077
899,0.39098
899,0.39119
899,0.39139
899,0.3916
899,0.3918
899,0.392
899,0.3922
860,0.28099
860,0.28066
860,0.28033
860,0.28
860,0.27967
860,0.27934
860,0.27901
860,0.27868
860,0.27835
860,0.27802
860,0.27769
860,0.27736
860,0.27703
860,0.2767
860,0.27637
860,0.27604
860,0.27572
860,0.27539
809,0.16036
809,0.16026
809,0.16017
809,0.16007
809,0.15997
809,0.15988
809,0.15978
809,0.15969
809,0.15959
809,0.1595
809,0.15941
809,0.15932
809,0.15922
809,0.15913
809,0.15904
809,0.15895
809,0.15886
809,0.15877
809,0.15868
809,0.15859
759,0.11265
759,0.11264
759,0.11263
759,0.11262
759,0.11261
759,0.1126
759,0.11259
759,0.11258
759,0.11257
759,0.11256
759,0.11255
759,0.11254
759,0.11253
759,0.11251
759,0.1125
759,0.11249
759,0.11248
759,0.11247
759,0.11246
759,0.11245
759,0.11244
759,0.11243
759,0.11242
729,0.08508
729,0.08506
729,0.08503
729,0.08501
729,0.08499
729,0.08497
729,0.08494
729,0.08492
729,0.0849
729,0.08487
729,0.08485
729,0.08482
729,0.0848
729,0.08477
729,0.08475
729,0.08472
729,0.0847
729,0.08467
729,0.08464
729,0.08462
729,0.08459
729,0.08456
729,0.08454
729,0.08451
704,0.0703
704,0.0703
704,0.07031
704,0.07032
704,0.07032
704,0.07033
704,0.07033
704,0.07034
704,0.07034
704,0.07035
704,0.07035
704,0.07035
704,0.07035
704,0.07035
704,0.07035
704,0.07035
704,0.07034
704,0.07034
704,0.07033
704,0.07033
704,0.07032
704,0.07031
704,0.0703
704,0.07029
704,0.07028
704,0.07027
680,0.0578
680,0.05778
680,0.05775
680,0.05773
680,0.05771
680,0.05769
680,0.05767
680,0.05765
680,0.05763
680,0.05761
680,0.05759
680,0.05757
680,0.05755
680,0.05753
680,0.05751
680,0.05749
680,0.05747
680,0.05745
680,0.05743
680,0.05742
680,0.0574
680,0.05738
680,0.05736
680,0.05734
680,0.05732
680,0.0573
680,0.05729
680,0.05727
