wavenumber_cm1,reflectance
944,0.19751
944,0.19743
944,0.19734
944,0.19726
944,0.19718
944,0.1971
944,0.19701
944,0.19693
899,0.16283
899,0.16272
899,0.16262
899,0.16251
899,0.16241
899,0.16231
899,0.16221
899,0.16211
860,0.12683
860,0.1267
860,0.12658
860,0.12646
860,0.12633
860,0.12621
860,0.12609
860,0.12598
860,0.12586
809,0.08028
809,0.08024
809,0.08021
809,0.08018
809,0.08015
809,0.08012
809,0.08009
809,0.08006
809,0.08003
809,0.08
759,0.07253
759,0.07252
759,0.07251
759,0.07251
759,0.0725
759,0.0725
759,0.0725
759,0.0725
759,0.0725
759,0.0725
759,0.07251
729,0.072
729,0.07201
729,0.07202
729,0.07204
729,0.07205
729,0.07206
729,0.07207
729,0.07208
729,0.07209
729,0.07209
729,0.0721
729,0.0721
704,0.07077
704,0.07074
704,0.0707
704,0.07067
704,0.07063
704,0.07059
704,0.07056
704,0.07052
704,0.07049
704,0.07045
704,0.07042
704,0.07038
704,0.07034
680,0.0669
680,0.06688
680,0.06686
680,0.06684
680,0.06681
680,0.06679
680,0.06677
680,0.06675
680,0.06672
680,0.0667
680,0.06667
680,0.06665
680,0.06662
680,0.0666
